,fpr_logr,tpr_logr,thresholds_logr
0,0.0,0.0,0.02
1,0.0,0.0005053057099545225,0.02
2,0.0,0.013137948458817585,0.02
3,4.7732696897374704e-05,0.013137948458817585,0.02
4,4.7732696897374704e-05,0.017685699848408287,0.02
5,9.546539379474941e-05,0.017685699848408287,0.02
6,9.546539379474941e-05,0.020717534108135423,0.02
7,0.0001431980906921241,0.020717534108135423,0.02
8,0.0001431980906921241,0.037897928246589184,0.02
9,0.00023866348448687351,0.037897928246589184,0.02
10,0.00023866348448687351,0.053562405255179385,0.02
11,0.00033412887828162294,0.053562405255179385,0.02
12,0.00033412887828162294,0.05406771096513391,0.02
13,0.00038186157517899763,0.05406771096513391,0.02
14,0.00038186157517899763,0.0697321879737241,0.02
15,0.00042959427207637233,0.0697321879737241,0.02
16,0.00042959427207637233,0.07023749368367863,0.02
17,0.00047732696897374703,0.07023749368367863,0.02
18,0.00047732696897374703,0.07074279939363315,0.02
19,0.0005727923627684964,0.07074279939363315,0.02
20,0.0005727923627684964,0.07225871652349672,0.02
21,0.0006682577565632459,0.07225871652349672,0.02
22,0.0006682577565632459,0.07579585649317837,0.02
23,0.0007159904534606205,0.07579585649317837,0.02
24,0.0007159904534606205,0.07731177362304194,0.02
25,0.0007637231503579953,0.07731177362304194,0.02
26,0.0007637231503579953,0.07933299646286003,0.02
27,0.0008114558472553699,0.07933299646286003,0.02
28,0.0008114558472553699,0.08185952501263265,0.02
29,0.0008591885441527447,0.08185952501263265,0.02
30,0.0008591885441527447,0.08236483072258717,0.02
31,0.0009069212410501193,0.08236483072258717,0.02
32,0.0009069212410501193,0.08590197069226882,0.02
33,0.0009546539379474941,0.08590197069226882,0.02
34,0.0009546539379474941,0.08741788782213239,0.02
35,0.0010023866348448688,0.08741788782213239,0.02
36,0.0010023866348448688,0.09146033350176858,0.02
37,0.0010501193317422435,0.09146033350176858,0.02
38,0.0010501193317422435,0.09701869631126832,0.02
39,0.0011455847255369927,0.09701869631126832,0.02
40,0.0011455847255369927,0.09752400202122284,0.02
41,0.0012410501193317422,0.09752400202122284,0.02
42,0.0012410501193317422,0.09853461344113189,0.02
43,0.0012887828162291169,0.09853461344113189,0.02
44,0.0012887828162291169,0.10055583628094998,0.02
45,0.0013365155131264917,0.10055583628094998,0.02
46,0.0013365155131264917,0.10156644770085901,0.02
47,0.0013842482100238664,0.10156644770085901,0.02
48,0.0013842482100238664,0.10308236483072258,0.02
49,0.0015274463007159905,0.10308236483072258,0.02
50,0.0015274463007159905,0.1056088933804952,0.02
51,0.0015751789976133652,0.1056088933804952,0.02
52,0.0015751789976133652,0.10611419909044972,0.02
53,0.0016229116945107398,0.10611419909044972,0.02
54,0.0016229116945107398,0.1076301162203133,0.02
55,0.0017183770883054893,0.1076301162203133,0.02
56,0.0017183770883054893,0.10914603335017686,0.02
57,0.001766109785202864,0.10914603335017686,0.02
58,0.001766109785202864,0.1101566447700859,0.02
59,0.0019570405727923628,0.1101566447700859,0.02
60,0.0019570405727923628,0.11116725618999494,0.02
61,0.0020047732696897376,0.11116725618999494,0.02
62,0.0020047732696897376,0.11571500757958565,0.02
63,0.002100238663484487,0.11571500757958565,0.02
64,0.002100238663484487,0.11622031328954018,0.02
65,0.002243436754176611,0.11622031328954018,0.02
66,0.002243436754176611,0.1167256189994947,0.02
67,0.0023389021479713603,0.1167256189994947,0.02
68,0.0023389021479713603,0.1192521475492673,0.02
69,0.002386634844868735,0.1192521475492673,0.02
70,0.002386634844868735,0.12278928751894896,0.02
71,0.0025298329355608593,0.12278928751894896,0.02
72,0.0025298329355608593,0.12329459322890349,0.02
73,0.0025775656324582338,0.12329459322890349,0.02
74,0.0025775656324582338,0.12430520464881253,0.02
75,0.0026252983293556086,0.12430520464881253,0.02
76,0.0026252983293556086,0.12481051035876706,0.02
77,0.0026730310262529835,0.12481051035876706,0.02
78,0.0026730310262529835,0.12733703890853967,0.02
79,0.002720763723150358,0.12733703890853967,0.02
80,0.002720763723150358,0.1278423446184942,0.02
81,0.0027684964200477328,0.1278423446184942,0.02
82,0.0027684964200477328,0.1303688731682668,0.02
83,0.002911694510739857,0.1303688731682668,0.02
84,0.002911694510739857,0.1349166245578575,0.02
85,0.003198090692124105,0.1349166245578575,0.02
86,0.003198090692124105,0.13794845881758463,0.02
87,0.0032458233890214796,0.13794845881758463,0.02
88,0.0032458233890214796,0.14047498736735725,0.02
89,0.003389021479713604,0.14047498736735725,0.02
90,0.003389021479713604,0.1414855987872663,0.02
91,0.003627684964200477,0.1414855987872663,0.02
92,0.003627684964200477,0.14199090449722082,0.02
93,0.003675417661097852,0.14199090449722082,0.02
94,0.003675417661097852,0.14401212733703891,0.02
95,0.0038663484486873506,0.14401212733703891,0.02
96,0.0038663484486873506,0.14653865588681153,0.02
97,0.0039140811455847255,0.14653865588681153,0.02
98,0.0039140811455847255,0.14704396159676605,0.02
99,0.0039618138424821,0.14704396159676605,0.02
100,0.0039618138424821,0.14906518443658415,0.02
101,0.004057279236276849,0.14906518443658415,0.02
102,0.004057279236276849,0.14957049014653864,0.02
103,0.004105011933174224,0.14957049014653864,0.02
104,0.004105011933174224,0.15007579585649317,0.02
105,0.004152744630071599,0.15007579585649317,0.02
106,0.004152744630071599,0.1505811015664477,0.02
107,0.004200477326968974,0.1505811015664477,0.02
108,0.004200477326968974,0.1531076301162203,0.02
109,0.0042959427207637235,0.1531076301162203,0.02
110,0.0042959427207637235,0.15462354724608388,0.02
111,0.0043436754176610975,0.15462354724608388,0.02
